District,Crops,Kharif,Jan-water,Feb-water,Mar-water,Apr-water,May-water,Jun-water,Jul-water,Aug-water,Sep-water,Oct-water,Nov-water,Dec-water,Major,Minor
Bellary,G.nut,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bellary,Sunflower,1,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921,Red  ,Black  
Bidar,Greengram,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,WheatSunflower,0,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Jowar,0,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Bengalgram,0,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,S.cane,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Tur,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,M.Millets,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Paddy,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Niger,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Sesamum,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Bajra,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Jowar,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Blackgram,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Safflower,0,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Sunflower,1,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bidar,Linseed,0,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796,Black  ,Red  
Bijapur,S.cane,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Cotton,0,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Linseed,0,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Bengalgram. Safflower,0,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Wheat,0,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Sunflower,0,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Jowar,0,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Cotton,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Tur,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Horsegram,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Maize,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,G.nut,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Sunflower,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Bijapur,Bajra,1,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101,Red,Black
Chamrajnagara,Paddy,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
